"","repClass","repFamily","nRepeats","miR","canonicalSeed","nonCanonicalSeed"
"1","Simple_repeat","Simple_repeat",961,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-30d-5p;mmu-miR-29c-3p;mmu-miR-466f-3p;mmu-miR-342-3p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-181b-5p;mmu-miR-29b-3p;mmu-let-7d-5p;mmu-miR-16-5p;mmu-miR-204-5p;mmu-let-7b-5p;mmu-let-7e-5p;mmu-let-7i-5p;mmu-miR-9-5p;mmu-miR-29a-3p;mmu-let-7k;mmu-miR-101a-3p;mmu-miR-24-3p;mmu-miR-181d-5p;mmu-miR-425-5p;mmu-miR-362-3p;mmu-miR-132-3p;mmu-miR-128-3p;mmu-miR-669o-3p",836,125
"2","LINE","L1",419,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-29c-3p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-30a-5p;mmu-miR-181b-5p;mmu-miR-27b-3p;mmu-miR-29b-3p;mmu-let-7d-5p;mmu-let-7b-5p;mmu-let-7e-5p;mmu-let-7i-5p;mmu-miR-9-5p;mmu-miR-29a-3p;mmu-miR-101a-3p",384,35
"3","SINE","B4",341,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-30d-5p;mmu-miR-466f-3p;mmu-miR-342-3p;mmu-miR-26b-5p;mmu-miR-30b-5p;mmu-miR-30e-5p;mmu-miR-30a-5p;mmu-miR-29b-3p;mmu-let-7d-5p;mmu-let-7b-5p;mmu-miR-9-5p;mmu-miR-151-3p;mmu-miR-101a-3p;mmu-miR-3473b;mmu-miR-2137;mmu-miR-1983;mmu-miR-5126",306,35
"4","SINE","Alu",274,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-let-7f-5p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-709;mmu-miR-16-5p;mmu-let-7b-5p;mmu-let-7e-5p;mmu-let-7i-5p",239,35
"5","SINE","B2",274,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-29b-3p;mmu-miR-210-3p;mmu-let-7b-5p;mmu-let-7e-5p;mmu-miR-3473b",263,11
"6","LTR","ERVL-MaLR",161,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-miR-30b-5p",145,16
"7","LTR","ERVK",160,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-30d-5p;mmu-miR-342-3p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-30e-5p;mmu-miR-30a-5p;mmu-miR-181b-5p;mmu-let-7d-5p;mmu-let-7b-5p;mmu-miR-9-5p;mmu-let-7k",143,17
"8","Low_complexity","Low_complexity",144,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-182-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-30a-5p;mmu-miR-29b-3p;mmu-let-7b-5p;mmu-let-7e-5p;mmu-miR-9-5p;mmu-let-7k;mmu-miR-24-3p;mmu-let-7d-3p",128,16
"9","Satellite","Satellite",89,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-183-5p;mmu-miR-181a-5p;mmu-miR-30c-5p;mmu-let-7f-5p;mmu-miR-342-3p;mmu-let-7g-5p;mmu-miR-30b-5p;mmu-miR-181b-5p;mmu-let-7d-5p;mmu-miR-29a-3p;mmu-miR-101a-3p;mmu-miR-362-3p;mmu-miR-486b-5p",78,11
"10","SINE","MIR",86,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-miR-183-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-let-7f-5p;mmu-miR-26b-5p;mmu-let-7g-5p;mmu-let-7d-5p;mmu-miR-16-5p;mmu-let-7b-5p;mmu-let-7e-5p",82,4
"11","LINE","L2",62,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7a-5p;mmu-miR-181a-5p;mmu-miR-342-3p;mmu-let-7g-5p;mmu-miR-181b-5p;mmu-miR-29b-3p;mmu-miR-9-5p;mmu-miR-191-5p;mmu-miR-425-5p;mmu-miR-298-5p",56,6
"12","SINE","ID",52,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-466i-5p;mmu-miR-26a-5p",49,3
"13","DNA","hAT-Charlie",44,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-let-7c-5p;mmu-miR-182-5p;mmu-miR-26a-5p;mmu-let-7a-5p;mmu-miR-30c-5p;mmu-miR-26b-5p;mmu-let-7b-5p",42,2
"14","LTR","ERVL",37,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-miR-182-5p;mmu-let-7a-5p;mmu-miR-30c-5p;mmu-miR-30b-5p;mmu-miR-16-5p",31,6
"15","DNA","TcMar-Tigger",26,"mmu-miR-124-3p;mmu-let-7c-5p;mmu-miR-26a-5p;mmu-miR-30d-5p;mmu-miR-26b-5p;mmu-miR-210-3p;mmu-miR-9-5p;mmu-miR-101a-3p",24,2
"16","rRNA","rRNA",17,"mmu-miR-124-3p;mmu-miR-96-5p;mmu-miR-181a-5p;mmu-miR-181b-5p;mmu-miR-204-5p;mmu-miR-151-3p;mmu-miR-23b-3p;mmu-miR-181d-5p;mmu-miR-2137;mmu-miR-1983;mmu-miR-5126;mmu-miR-370-3p",14,3
"17","LTR","ERV1",8,"mmu-miR-124-3p",8,0
"18","LINE","CR1",6,"mmu-miR-124-3p;mmu-miR-26a-5p;mmu-miR-26b-5p",4,2
"19","scRNA","scRNA",6,"mmu-miR-124-3p;mmu-miR-3084-3p",6,0
"20","SINE","Deu",5,"mmu-let-7c-5p;mmu-let-7a-5p;mmu-let-7d-5p;mmu-let-7b-5p;mmu-let-7e-5p",5,0
"21","tRNA","tRNA",4,"mmu-miR-124-3p",4,0
